seq	TSS	strand	nTAGs	isreal
I	   9327	+	    1	TRUE
I	  11391	+	    1	TRUE
I	  12776	+	    1	TRUE
I	  12835	+	    1	TRUE
I	  16975	+	    1	TRUE
I	  23939	+	    4	TRUE
I	  23947	+	    1	TRUE
I	  23950	+	    1	TRUE
I	  23955	+	    1	TRUE
I	  23969	+	    1	TRUE
I	  23977	+	    1	TRUE
I	  23979	+	    1	TRUE
I	  23986	+	    1	TRUE
I	  23990	+	   14	TRUE
I	  24010	+	    9	TRUE
I	  24021	+	    1	TRUE
I	  24025	+	    6	TRUE
I	  24030	+	    4	TRUE
I	  24048	+	    1	TRUE
I	  24358	+	    1	TRUE
I	  24487	+	    1	TRUE
I	  24488	+	    1	TRUE
I	  24834	+	    2	TRUE
I	  24838	+	    5	TRUE
I	  24918	+	    1	TRUE
I	  24946	+	    1	TRUE
I	  24981	+	    1	TRUE
I	  26893	+	    1	TRUE
I	  30043	+	    1	TRUE
I	  30113	+	    1	TRUE
I	  30125	+	    1	TRUE
I	  31193	+	    3	TRUE
I	  31229	+	    2	TRUE
I	  31234	+	    1	TRUE
I	  31242	+	    5	TRUE
I	  31529	+	    7	TRUE
I	  31539	+	    6	TRUE
I	  31713	+	    5	TRUE
I	  31723	+	    1	TRUE
I	  31729	+	    7	TRUE
I	  31732	+	    7	TRUE
I	  31743	+	    1	TRUE
I	  31757	+	    2	TRUE
I	  31795	+	    1	TRUE
I	  31808	+	    1	TRUE
I	  31818	+	    1	TRUE
I	  31824	+	    6	TRUE
I	  31828	+	    1	TRUE
I	  31867	+	    2	TRUE
I	  31876	+	    5	TRUE
I	  31888	+	    2	TRUE
I	  31891	+	    6	TRUE
I	  31897	+	    1	TRUE
I	  31903	+	   11	TRUE
I	  31906	+	    3	TRUE
I	  31908	+	    1	TRUE
I	  31912	+	    3	TRUE
I	  31977	+	    5	TRUE
I	  31981	+	    2	TRUE
I	  32112	+	    1	TRUE
I	  32122	+	    4	TRUE
I	  32142	+	    1	TRUE
I	  32281	+	    1	TRUE
I	  32465	+	    1	TRUE
I	  33181	+	    1	TRUE
I	  33355	+	    1	TRUE
I	  33359	+	   26	TRUE
I	  33767	+	    5	TRUE
I	  33774	+	    1	TRUE
I	  34003	+	    2	TRUE
I	  34134	+	    2	TRUE
I	  34147	+	    1	TRUE
I	  34154	+	    1	TRUE
I	  34183	+	    1	TRUE
I	  35020	+	    1	TRUE
I	  35029	+	    1	TRUE
I	  35057	+	    3	TRUE
I	  35068	+	    4	TRUE
I	  35103	+	    2	TRUE
I	  35107	+	    2	TRUE
I	  35185	+	   28	TRUE
I	  35258	+	    1	TRUE
I	  35790	+	    1	TRUE
I	  35841	+	    1	TRUE
I	  36460	+	    1	TRUE
I	  36511	+	    2	TRUE
I	  36513	+	    3	TRUE
I	  36522	+	    2	TRUE
I	  36525	+	  115	TRUE
I	  36556	+	    6	TRUE
I	  36559	+	    2	TRUE
I	  36564	+	    6	TRUE
I	  36567	+	   27	TRUE
I	  36733	+	    1	TRUE
I	  37338	+	    1	TRUE
I	  37342	+	    1	TRUE
I	  37378	+	    4	TRUE
I	  37380	+	   14	TRUE
I	  37382	+	   12	TRUE
I	  37389	+	    3	TRUE
I	  37392	+	    9	TRUE
I	  37403	+	    2	TRUE
I	  37413	+	    1	TRUE
I	  37415	+	   12	TRUE
I	  37417	+	    1	TRUE
I	  37419	+	    5	TRUE
I	  37422	+	    7	TRUE
I	  37445	+	    1	TRUE
I	  37449	+	    1	TRUE
I	  37485	+	    1	TRUE
I	  37508	+	    2	TRUE
I	  37866	+	    1	TRUE
I	  38377	+	    1	TRUE
I	  39163	+	    1	TRUE
I	  39195	+	    2	TRUE
I	  39205	+	    2	TRUE
I	  39206	+	    1	TRUE
I	  39211	+	    1	TRUE
I	  39215	+	   13	TRUE
I	  39217	+	    2	TRUE
I	  39237	+	   14	TRUE
I	  39256	+	    2	TRUE
I	  39279	+	    2	TRUE
I	  40330	+	    1	TRUE
I	  40667	+	    1	TRUE
I	  42148	+	    3	TRUE
I	  42151	+	    1	TRUE
I	  42155	+	    5	TRUE
I	  42157	+	    1	TRUE
I	  42158	+	   10	TRUE
I	  42161	+	    3	TRUE
I	  42164	+	    4	TRUE
I	  42167	+	    2	TRUE
I	  42185	+	    5	TRUE
I	  42188	+	    1	TRUE
I	  42199	+	    1	TRUE
I	  42221	+	    1	TRUE
I	  42406	+	    1	TRUE
I	  43125	+	    1	TRUE
I	  43434	+	    1	TRUE
I	  43465	+	    2	TRUE
I	  43469	+	    4	TRUE
I	  43471	+	    1	TRUE
I	  43490	+	    2	TRUE
I	  43505	+	    1	TRUE
I	  43539	+	    4	TRUE
I	  43782	+	    2	TRUE
I	  43798	+	    1	TRUE
I	  45744	+	    1	TRUE
I	  45748	+	    5	TRUE
I	  45762	+	    1	TRUE
I	  45769	+	    1	TRUE
I	  45810	+	    2	TRUE
I	  45825	+	    1	TRUE
I	  45874	+	    1	TRUE
I	  46126	+	    1	TRUE
I	  46489	+	    1	TRUE
I	  48474	+	    2	TRUE
I	  48496	+	    1	TRUE
I	  48502	+	    2	TRUE
I	  48545	+	    1	TRUE
I	  48550	+	    8	TRUE
I	  48555	+	   22	TRUE
I	  48564	+	    7	TRUE
I	  48566	+	    7	TRUE
I	  48581	+	    1	TRUE
I	  48961	+	    1	TRUE
I	  53195	+	    1	TRUE
I	  56595	+	    1	TRUE
I	  56972	+	    7	TRUE
I	  57462	+	    1	TRUE
I	  57465	+	    1	TRUE
I	  57481	+	    2	TRUE
I	  57484	+	   28	TRUE
I	  57493	+	    8	TRUE
I	  57497	+	    1	TRUE
I	  57500	+	    3	TRUE
I	  57502	+	    1	TRUE
I	  57504	+	    9	TRUE
I	  57506	+	   40	TRUE
I	  57511	+	    5	TRUE
I	  57517	+	   15	TRUE
I	  57520	+	    1	TRUE
I	  57535	+	    1	TRUE
I	  57577	+	    1	TRUE
I	  59004	+	    1	TRUE
I	  61265	+	    1	TRUE
I	  61267	+	   17	TRUE
I	  61269	+	  233	TRUE
I	  61272	+	    5	TRUE
I	  61274	+	   75	TRUE
I	  61275	+	    4	TRUE
I	  61279	+	    6	TRUE
I	  61282	+	    9	TRUE
I	  61287	+	    4	TRUE
I	  61290	+	   28	TRUE
I	  61294	+	   18	TRUE
I	  61296	+	   12	TRUE
I	  61297	+	    1	TRUE
I	  61300	+	  284	TRUE
I	  61301	+	    5	TRUE
I	  61304	+	   60	TRUE
I	  61305	+	    1	TRUE
I	  61307	+	    1	TRUE
I	  61313	+	   17	TRUE
I	  61316	+	    2	TRUE
I	  61323	+	    1	TRUE
I	  61333	+	    1	TRUE
I	  61342	+	    1	TRUE
I	  61357	+	    2	TRUE
I	  61364	+	    2	TRUE
I	  61381	+	    1	TRUE
I	  61438	+	    1	TRUE
I	  61450	+	    2	TRUE
I	  61451	+	    1	TRUE
I	  61480	+	    1	TRUE
I	  61534	+	    1	TRUE
I	  61583	+	    1	TRUE
I	  61601	+	    1	TRUE
I	  61660	+	    4	TRUE
I	  61661	+	    1	TRUE
