chr	start	end	strand	log2FC	logCPM	F	PValue	FDR
I	101151	101196	-	-1.65216049041188	9.55458878570828	132.606091103287	1.3520306120327e-07	2.27646399936024e-06
I	114803	114818	+	-1.06631349820898	5.57722120707579	7.87805682929031	0.0166505098313276	0.0307948995968225
I	124782	124818	+	1.03271979892775	7.90691724599903	37.8291722394649	6.36949122008648e-05	0.000273315205264028
I	130686	130779	+	-2.20261238638537	8.65417030901149	207.173511980928	1.25824402589856e-08	4.29795117077498e-07
I	136815	136905	+	2.20348926756036	7.79525285237602	51.2995926300775	1.57624914045235e-05	9.0984914797641e-05
I	140012	140378	-	6.26078700502957	7.39591821352539	57.0536634952051	9.51162686750998e-06	6.23767875165817e-05
I	140597	141029	-	3.16100708041665	8.92086532710101	110.530838565482	3.49171295229843e-07	4.69355669223319e-06
I	141095	141133	-	2.63510431410085	7.24407555861806	50.7209839937365	1.66268652826649e-05	9.47380871960743e-05
I	141182	141675	-	1.39649375570606	11.2395137654747	54.7711290003593	1.15595565470437e-05	7.16545250419295e-05
I	142117	142246	+	-1.70883253458037	10.0702484447745	104.344442103248	4.69997185447536e-07	5.99936508650954e-06
I	142639	142936	+	-1.89665606851898	7.65059795828553	23.8024574018052	0.000449212795131801	0.00141571856289595
I	158847	158897	+	-1.3598119802955	6.74503790235831	23.8523335783544	0.000445498590465083	0.00140674636028754
I	165849	165919	-	1.16932423545638	6.54795502154676	13.9904065170305	0.00311042274268806	0.00730468970362939
I	188621	188684	-	1.48457321946686	7.18508109537154	37.9918832600287	6.24893039955706e-05	0.0002700470277464
I	190145	190217	+	2.78887232104051	6.94123138326743	130.917027738789	1.44605442547544e-07	2.3691922001224e-06
I	192549	192619	+	1.4720380705646	6.39159021375453	8.04719632569021	0.0157709929851308	0.029357938739727
I	24828	25010	+	3.21644245279704	7.91254026982878	211.810393596897	1.11672449318652e-08	3.9118748627606e-07
I	31517	31542	+	7.88148948310116	5.75919486961821	94.7455616478269	3.4662032248734e-06	2.82049245689531e-05
I	34345	34362	-	-3.96141503648055	5.45851459292729	54.0483799034988	1.23133992452367e-05	7.48027474748088e-05
I	36511	36571	+	-2.35184211072012	6.58935270720147	58.9447675628911	8.13281703381703e-06	5.51173923211054e-05
I	39190	39237	+	1.57144991651703	6.28947395320368	14.4861083459556	0.00277031732811962	0.00661775361739327
I	44423	44601	-	7.27822289238901	5.23325096962128	48.0987916688464	5.72359092475664e-05	0.000253543494188465
I	45037	45102	-	11.3098299467339	8.92864511250368	664.16985982083	5.58675231548166e-10	8.4953552397293e-08
I	45742	45951	+	2.38517015245889	7.68882179485487	66.8958297084471	4.39823202711043e-06	3.34926401313292e-05
I	52617	52669	-	1.31540626601103	6.29557672869254	11.6805784440549	0.00552454689796031	0.0119424456710239
I	72395	72631	+	-1.3474554909791	7.41382532859643	10.233366112848	0.00818861372769364	0.0167560111013277
