seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
1	   629084	   629165	+	 39	 580	0.09	 82	  -8.47	-2.95	0.06	NA
1	   629640	   629840	+	 53	 655	0.10	201	 -18.74	-3.24	0.09	NA
1	   629914	   629967	+	  5	  49	0.53	 54	  10.38	 0.07	0.17	NA
1	   630164	   630164	+	  1	   6	1.00	  1	   0.00	 2.00	1.00	NA
1	   630214	   630254	+	 14	 174	0.17	 41	  -8.52	-1.50	0.08	NA
1	   630877	   630877	+	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
1	   630917	   630917	+	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
1	   631042	   631072	+	  6	  97	0.62	 31	   6.45	 0.17	0.29	NA
1	   631474	   631476	+	  2	  13	0.54	  3	   0.08	 1.00	0.00	NA
1	   631863	   631863	+	  1	   7	1.00	  1	   0.00	 2.00	1.00	NA
1	   632200	   632200	+	  1	   8	1.00	  1	   0.00	 2.00	1.00	NA
1	   632757	   632757	+	  1	  10	1.00	  1	   0.00	 2.00	1.00	NA
1	   632929	   632929	+	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
1	   632986	   632991	+	  2	  12	0.50	  6	   0.00	 1.00	0.00	NA
1	   633091	   633100	+	  3	  24	0.42	 10	   1.58	 0.45	0.02	NA
1	   633473	   633473	+	  1	  21	1.00	  1	   0.00	 2.00	1.00	NA
1	   633533	   633577	+	  7	  66	0.30	 45	  -0.45	-0.61	0.07	NA
1	   633635	   633635	+	  1	   5	1.00	  1	   0.00	 2.00	1.00	NA
1	   633729	   633760	+	  7	  53	0.23	 32	  -2.78	-0.75	0.02	NA
1	   633889	   633938	+	  8	  63	0.30	 50	 -11.66	-0.82	0.06	NA
1	   633983	   634029	+	 14	 300	0.17	 47	   9.19	-1.36	0.12	NA
1	   634115	   634180	+	 22	 299	0.12	 66	   9.81	-2.12	0.08	NA
1	   634376	   634376	+	  1	  20	1.00	  1	   0.00	 2.00	1.00	NA
1	   634437	   634437	+	  1	   6	1.00	  1	   0.00	 2.00	1.00	NA
